CODE	SUPPLIER	SUPPCODE	DESCRIPTION	RETAIL	TRADE	MLP	DISC1	DISC2	FWDDATE	FWDRETAIL	FWDTRADE	FWDMLP	FWDDISC1	FWDDISC2
211071GO	100999	211071GO	GROHE GRANDERA BASIN MIXER(SALE PRICE)	29.00	29.00	29.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
237EW019	18150	237EW019	H53CP BOTTLE TRAP	14.80	14.80	14.800	0.00	0.00		0.00	0.00	0.00	0.00	0.00
26250000	100999	26250000	GROHE SHOWER DISPLAY	249.00	249.00	249.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
27420	100999	27420	GROHE 1000C EUPHORIA HEAD+HANDSET	503.62	402.89	661.580	40.00	20.00		0.00	0.00	0.00	0.00	0.00
301967	100999	301967	30.1967 RADIUS BASIN	50.00	50.00	50.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
30717888	100999	30717888	WIRQUIN VENISIO 700MM WETROOM CHANNEL	243.75	195.00	133.900	0.00	0.00		0.00	0.00	0.00	0.00	0.00
58709	10211	58709	JTP DISPLAY ITEM RETURN	95.00	95.00	95.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
6261290100	19083	1111	SHOWERLUX	1.00	1.00	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
665003	100999	665003	AQUALISA 665003 DUAL FLOW/DIVERTER	25.95	25.95	18.590	0.00	0.00		0.00	0.00	0.00	0.00	0.00
BARGAINKIT	100999	     	BARGAIN RISER RAIL KIT 	10.00	10.00	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
CARRIAGE	100999	   	CARRIAGE CHARGE	15.00	15.00	15.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
CERAMICSINK	100999	BL452660	BLANCO SETURA 1.5BOWL CERAMIC SINK	99.00	99.00	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
CL3QT	100999	CL3QT	CL3QT TAPS	55.00	55.00	55.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
CTA7	100999	CTA7	BRITTON CTA7	143.00	143.00	143.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
CTX35	100999	    	COPPER 35MM PER M	24.94	19.95	1.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
CUSTOMER	100999	CUSTOMER	CUSTOMER CLAIM FOR PROBLEM WITH PRODUCT	136.16	136.16	136.160	0.00	0.00		0.00	0.00	0.00	0.00	0.00
DCB	100999	      	DEEP CHAMBER BASE	495.00	99.00	10.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
DCC	100999	    	DEEP CHAMBER COVER	295.00	59.00	10.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
DEBITCHARGE	71801	   	GRANT BOILERS DEBIT CHARGE	765.40	765.40	765.400	0.00	0.00		0.00	0.00	0.00	0.00	0.00
DIARY	40519	    	AQUATEC DIARY(FREE OF CHARGE)	0.01	0.00	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
DISPLAY	100999	   	CROSSWATER FHX300C+PD926	200.00	200.00	200.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
DISPLAY1	40123	     	311331.001.100 KARTELL TAP	59.00	59.00	59.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
DISPLAY10	100999	26724000	HANSGROHE 26724000	59.35	59.35	59.350	0.00	0.00		0.00	0.00	0.00	0.00	0.00
DISPLAY11	100999	274520000	HANSGROHE 27452000	30.15	30.15	30.150	0.00	0.00		0.00	0.00	0.00	0.00	0.00
DISPLAY12	100999	92271000	HANSGROHE 92271000	21.99	21.99	21.990	0.00	0.00		0.00	0.00	0.00	0.00	0.00
DISPLAY2	40123	   	LB1307NK LEFROY BROOKS LEVER	28.44	28.44	28.440	0.00	0.00		0.00	0.00	0.00	0.00	0.00
DISPLAY3	40123	   	LB7703WH BASIN WRONG DISC/FAULTY	352.00	352.00	352.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
DISPLAY4	40123	    	77649 00256182 BATH FEET	90.00	90.00	90.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
DISPLAY6	100999	7747	VITRA 7747 SENTO RIM-EX COMPACT	42.00	42.00	42.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
DISPLAY7	100999	DISPLAY7	SENTO SEAT 100-003-009 SLIM SOFT CLOSE	21.17	21.17	21.170	0.00	0.00		0.00	0.00	0.00	0.00	0.00
DISPLAY8	40123	38433	KARTELL 3.8433.2.004.000.1 PAPER HOLDER	47.90	47.90	47.900	0.00	0.00		0.00	0.00	0.00	0.00	0.00
DISPLAY9	100999	26468000	HANSGROHE 26468000	236.78	236.78	236.780	0.00	0.00		0.00	0.00	0.00	0.00	0.00
DUPLOPLATE	40123	   	895661.004.000 DUPLO PLATE	8.82	8.82	8.820	0.00	0.00		0.00	0.00	0.00	0.00	0.00
