CODE	SUPPLIER	SUPPCODE	DESCRIPTION	RETAIL	TRADE	MLP	DISC1	DISC2	FWDDATE	FWDRETAIL	FWDTRADE	FWDMLP	FWDDISC1	FWDDISC2
297521046	10315	297521046	BOSTON ANTI SLIP GRIP GREY	16.08	12.85	16.080	60.00	0.00		0.00	0.00	0.00	0.00	0.00
297621046	10315	297621046	BOSTON ORGANISER GREY	20.80	16.59	20.800	60.00	0.00		0.00	0.00	0.00	0.00	0.00
297720346	10315	297720346	BOSTON 30CM BAR(POL S.STEEL)	52.57	42.00	52.570	60.00	0.00		0.00	0.00	0.00	0.00	0.00
297720946	10315	297720946	BOSTON 30CM BAR(BRU S.STEEL)	49.97	39.95	49.970	60.00	0.00		0.00	0.00	0.00	0.00	0.00
297920346	10315	297920346	BOSTON 45CM BAR(POL S.STEEL)	56.25	44.95	56.250	60.00	0.00		0.00	0.00	0.00	0.00	0.00
297920946	10315	297920946	BOSTON 45CM BAR(BRU S.STEEL)	53.60	42.85	53.600	60.00	0.00		0.00	0.00	0.00	0.00	0.00
298120346	10315	298120346	BOSTON 90CM BAR(POL S.STEEL)	85.81	67.95	85.810	60.00	0.00		0.00	0.00	0.00	0.00	0.00
298120946	10315	298120946	BOSTON 90CM BAR(BRU S.STEEL)	82.03	64.85	82.030	60.00	0.00		0.00	0.00	0.00	0.00	0.00
298320346	10315	298320346	BOSTON 90DEG RH BAR(POL S.STEEL)	120.59	96.25	120.590	60.00	0.00		0.00	0.00	0.00	0.00	0.00
298320946	10315	298320946	BOSTON 90DEG RH BAR(BRU S.STEEL)	115.08	91.90	115.080	60.00	0.00		0.00	0.00	0.00	0.00	0.00
298350346	10315	298350346	BOSTON 90DEG LH BAR(POL S.STEEL)	125.41	99.85	125.410	60.00	0.00		0.00	0.00	0.00	0.00	0.00
298350946	10315	298350946	BOSTON 90DEG LH BAR(BRU S.STEEL)	115.08	91.95	115.080	60.00	0.00		0.00	0.00	0.00	0.00	0.00
298720346	10315	298720346	BOSTON 135DEG RH BAR(POL S.STEEL)	112.88	90.25	112.880	60.00	0.00		0.00	0.00	0.00	0.00	0.00
298720946	10315	298720946	BOSTON 135DEG RH BAR(BRU S.STEEL)	102.73	82.15	102.730	60.00	0.00		0.00	0.00	0.00	0.00	0.00
298750346	10315	298750346	BOSTON 135DEG LH BAR(POL S.STEEL)	112.89	90.25	112.890	60.00	0.00		0.00	0.00	0.00	0.00	0.00
298750946	10315	298750946	BOSTON 135DEG LH BAR(BRU S.STEEL)	106.84	85.40	106.840	60.00	0.00		0.00	0.00	0.00	0.00	0.00
299120346	10315	299120346	BOSTON 135DEG RH T.ROLL+BAR(POL S.STEEL)	99.25	79.35	99.250	60.00	0.00		0.00	0.00	0.00	0.00	0.00
299120946	10315	299120946	BOSTON 135DEG RH T.ROLL+BAR(BRU S.STEEL)	95.90	76.70	95.900	60.00	0.00		0.00	0.00	0.00	0.00	0.00
299150346	10315	299150346	BOSTON 135DEG LH T.ROLL+BAR(POL S.STEEL)	99.25	79.25	99.250	60.00	0.00		0.00	0.00	0.00	0.00	0.00
299150946	10315	299150946	BOSTON 135DEG LH T.ROLL+BAR(BRU S.STEEL)	95.91	76.75	95.910	60.00	0.00		0.00	0.00	0.00	0.00	0.00
299520346	10315	299520346	BOSTON FOLDING SHOWER SEAT	173.40	138.75	173.400	60.00	0.00		0.00	0.00	0.00	0.00	0.00
299720346	10315	299720346	BOSTON 90DEG RH SHOWER BAR(POL S.STEEL)	148.26	117.85	148.260	60.00	0.00		0.00	0.00	0.00	0.00	0.00
299720946	10315	299720946	BOSTON 90DEG RH SHOWER BAR(BRU S.STEEL)	147.84	117.89	147.840	60.00	0.00		0.00	0.00	0.00	0.00	0.00
299750346	10315	299750346	BOSTON 90DEG LH SHOWER BAR(POL S.STEEL)	148.26	117.85	148.260	60.00	0.00		0.00	0.00	0.00	0.00	0.00
299750946	10315	299750946	BOSTON 90DEG LH SHOWER BAR(BRU S.STEEL)	147.84	117.89	147.840	60.00	0.00		0.00	0.00	0.00	0.00	0.00
299920346	10315	299920346	BOSTON TOILET BRUSH HOLDER(POL S.STEEL)	71.08	56.85	71.080	60.00	0.00		0.00	0.00	0.00	0.00	0.00
299920946	10315	299920946	BOSTON TOILET BRUSH HOLDER(BRU S.STEEL)	66.66	53.30	66.660	60.00	0.00		0.00	0.00	0.00	0.00	0.00
40149	10315	40149	CORAM BOTTOM BATH SCREEN SEAL(40149)	18.84	14.99	10.400	0.00	0.00		0.00	0.00	0.00	0.00	0.00
SFD4CUC	10315	SFD4CUC	CORAM FOLDING 4 PANEL SCREEN CHROME/CLEA	245.70	195.00	272.730	50.00	10.00		0.00	0.00	0.00	0.00	0.00
SFD4CUW	10315	SFD4CUW	CORAM FOLDING 4 PANEL SCREEN WHITE/CLEAR	245.00	189.00	245.000	50.00	10.00		0.00	0.00	0.00	0.00	0.00
SFD5CUC	10315	SFD5CUC	CORAM FOLDING 5 PANEL SCREEN CHROME/CLEA	258.69	205.00	322.770	50.00	10.00		0.00	0.00	0.00	0.00	0.00
SFR105CUC	10315	SFR105CUC	CORAM CURVED 1050MM SCREEN+PANEL CHROME/	270.60	185.00	270.600	50.00	10.00		0.00	0.00	0.00	0.00	0.00
SFR80CUC	10315	SFR80CUC	CORAM CURVED 800MM SCREEN CHROME/CLEAR	126.65	84.95	126.650	50.00	10.00		0.00	0.00	0.00	0.00	0.00
SSL2105CUC	10315	SSL2105CUC	CORAM FRAMELESS SLIDING BATHSCREEN CHROM	328.18	229.00	328.180	50.00	10.00		0.00	0.00	0.00	0.00	0.00

